Apellido,Personas,Porcentaje
VILLANUEVA,213,0.07
GRANT,213,0.07
CANALES,212,0.07
MONTES,212,0.07
NAJERA,212,0.07
THOMAS,212,0.07
PERALTA,210,0.07
DAVILA,210,0.07
SABORIO,208,0.07
RUGAMA,204,0.07
DAVIS,203,0.07
AVILES,202,0.07
CAMPBELL,202,0.07
ESTRADA,200,0.07
SANCHO,199,0.07
REID,199,0.07
ZAPATA,193,0.07
WATSON,190,0.06
LEDEZMA,189,0.06
BATISTA,186,0.06
SALGUERA,186,0.06
ROCHA,185,0.06
LEANDRO,184,0.06
MORGAN,184,0.06
JACKSON,184,0.06
MONTENEGRO,183,0.06
JAEN,182,0.06
GORDON,182,0.06
ARGUELLO,180,0.06
BRAVO,180,0.06
VILLAGRA,180,0.06
WRIGHT,180,0.06
VALERIO,178,0.06
NARANJO,177,0.06
BRIONES,177,0.06
PAEZ,176,0.06
ZELEDON,172,0.06
ANCHIA,172,0.06
SOSA,172,0.06
ELLIS,170,0.06
BRYAN,170,0.06
VICTOR,167,0.06
VIQUEZ,166,0.06
ALLEN,166,0.06
PRENDAS,164,0.06
ARAUZ,163,0.06
DOMINGUEZ,163,0.06
JOHNSON,163,0.06
SANTAMARIA,162,0.05
NAVARRETE,160,0.05
MONTANO,160,0.05
BEJARANO,159,0.05
GAITAN,159,0.05
MAIRENA,158,0.05
ULATE,155,0.05
VILLALTA,155,0.05
AVALOS,155,0.05
PINEDA,154,0.05
PORTUGUEZ,152,0.05
FORBES,152,0.05
CORELLA,150,0.05
ORDOÑEZ,150,0.05
CASASOLA,150,0.05
ALMENGOR,148,0.05
PAYAN,146,0.05
CABRERA,145,0.05
CANO,145,0.05
SILES,144,0.05
BUSTAMANTE,144,0.05
FRANCIS,143,0.05
MOREIRA,141,0.05
BALLESTERO,139,0.05
REDONDO,139,0.05
POTOY,139,0.05
NELSON,139,0.05
MC KENZIE,139,0.05
CALERO,138,0.05
ARANA,138,0.05
MENESES,137,0.05
SCOTT,137,0.05
VALLE,136,0.05
RUBI,136,0.05
ROBINSON,136,0.05
CORONADO,135,0.05
CISNEROS,135,0.05
FOSTER,135,0.05
PALACIOS,133,0.05
NOVOA,133,0.05
THOMPSON,132,0.04
EDWARDS,130,0.04
ZUMBADO,129,0.04
BOLIVAR,129,0.04
SAMUELS,129,0.04
IBARRA,128,0.04
FIGUEROA,127,0.04
IGLESIAS,127,0.04
TRAÑA,126,0.04
AVENDAÑO,125,0.04
ZARATE,124,0.04
HODGSON,124,0.04
OVARES,123,0.04
CASTELLON,123,0.04
COLLADO,123,0.04
VIALES,122,0.04
VILCHEZ,121,0.04
ANDERSON,121,0.04
CHING,120,0.04
MYRIE,120,0.04
NOGUERA,119,0.04
SANTANA,118,0.04
MACHADO,118,0.04
HALL,118,0.04
SIMPSON,116,0.04
CHAMORRO,113,0.04
ASTORGA,112,0.04
FERRETO,112,0.04
JONES,112,0.04
AGUILERA,111,0.04
CASTAÑEDA,111,0.04
CABEZAS,110,0.04
BEITA,110,0.04
VALENCIANO,110,0.04
JAMES,109,0.04
CARAZO,108,0.04
POVEDA,107,0.04
BENNETT,107,0.04
NAVAS,106,0.04
ALTAMIRANO,105,0.04
ESCALANTE,105,0.04
ARLEY,105,0.04
ESCOBAR,105,0.04
DE LA O,105,0.04
NARVAEZ,105,0.04
OTAROLA,104,0.04
TORUÑO,104,0.04
TALAVERA,103,0.03
DIXON,103,0.03
STEWART,103,0.03
ASTUA,102,0.03
OCONITRILLO,102,0.03
LACAYO,102,0.03
CLARKE,102,0.03
DOUGLAS,102,0.03
CERVANTES,101,0.03
MURCIA,100,0.03
BUITRAGO,100,0.03
BOGANTES,99,0.03
BARRIENTOS,99,0.03
BORBON,97,0.03
SEVILLA,97,0.03
STERLING,97,0.03
MOSQUERA,96,0.03
SIRIAS,95,0.03
GRAJAL,95,0.03
AMPIE,94,0.03
OLIVARES,92,0.03
CLARK,90,0.03
CAJINA,89,0.03
RANGEL,89,0.03
MC LEAN,89,0.03
BOZA,88,0.03
SALGUERO,87,0.03
BECKFORD,87,0.03
MITCHELL,87,0.03
HARRIS,87,0.03
TIJERINO,86,0.03
QUINTANILLA,86,0.03
LIZANO,85,0.03
SALGADO,85,0.03
PAZ,85,0.03
WALKER,85,0.03
CABALLERO,83,0.03
CHAVEZ,83,0.03
BELLO,83,0.03
BLACKWOOD,83,0.03
COLE,82,0.03
PINNOCK,82,0.03
GALLO,81,0.03
MANZANARES,81,0.03
FLETES,81,0.03
BELL,81,0.03
GAYLE,81,0.03
BERNARD,81,0.03
QUINTERO,80,0.03
SALINAS,80,0.03
HENRY,79,0.03
BARRERA,78,0.03
ABURTO,78,0.03
MERCADO,78,0.03
RICHARDS,78,0.03
HUERTAS,77,0.03
FRANCO,77,0.03
ARDON,77,0.03
NOVA,77,0.03
DINARTE,76,0.03
CASANOVA,76,0.03
PATTERSON,76,0.03
PALMER,76,0.03
PITA,76,0.03
POWELL,76,0.03
UVA,75,0.03
GODOY,74,0.03
SELVA,74,0.03
MILLER,74,0.03
COOPER,74,0.03
TENCIO,73,0.02
WALTERS,73,0.02
PONCE,72,0.02
CONDEGA,72,0.02
MORRIS,72,0.02
EVANS,72,0.02
PIÑA,71,0.02
SARMIENTO,71,0.02
LUPARIO,71,0.02
GUERRA,70,0.02
MUNGUIA,70,0.02
VALDES,70,0.02
OLIVAS,69,0.02
ALCOCER,69,0.02
CRAWFORD,69,0.02
HOWARD,69,0.02
CABRACA,69,0.02
BURGOS,68,0.02
MONESTEL,67,0.02
BAÑEZ,67,0.02
JACAMO,67,0.02
LINDO,67,0.02
GREEN,67,0.02
ONIL,67,0.02
BONICHE,66,0.02
TUCKER,66,0.02
HERRA,65,0.02
SUAZO,65,0.02
LANZA,65,0.02
SALDAÑA,64,0.02
SPENCER,64,0.02
BARRETT,64,0.02
SANTOS,63,0.02
LEZCANO,63,0.02
MARTIN,63,0.02
CARPIO,62,0.02
LAZO,62,0.02
GRIJALBA,62,0.02
SALMERON,62,0.02
PARRALES,62,0.02
HINES,62,0.02
MC CARTHY,62,0.02
CHAVERRI,61,0.02
MAROTO,61,0.02
LOAICIGA,61,0.02
HUDSON,61,0.02
MAITLAND,61,0.02
BASTOS,60,0.02
MONDRAGON,60,0.02
SANDINO,60,0.02
QUIEL,60,0.02
CANTON,60,0.02
OLIVAR,60,0.02
BROOKS,60,0.02
LEZAMA,59,0.02
RIZO,59,0.02
CORTEZ,59,0.02
VALDEZ,59,0.02
KELLY,59,0.02
CONEJO,58,0.02
MONCADA,58,0.02
PAVON,58,0.02
GABB,58,0.02
PACHECO,57,0.02
MARENCO,57,0.02
WHITE,57,0.02
BENT,57,0.02
UGARTE,56,0.02
ATENCIO,56,0.02
QUINTANA,56,0.02
LAWRENCE,56,0.02
SOLERA,55,0.02
CAMARENO,55,0.02
CANTILLANO,55,0.02
POMARES,55,0.02
MURRAY,55,0.02
GRAHAM,55,0.02
ALCAZAR,54,0.02
PARAJELES,54,0.02
SAMUDIO,54,0.02
ARAICA,54,0.02
SABALLO,54,0.02
CUNNINGHAM,54,0.02
BAKER,54,0.02
ROSE,54,0.02
TAPIA,53,0.02
HENRIQUEZ,53,0.02
VALDERRAMOS,53,0.02
MAXWELL,53,0.02
FULLER,53,0.02
PAIS,52,0.02
OSES,51,0.02
BORGE,51,0.02
ZAMBRANA,51,0.02
MENOCAL,51,0.02
OPORTO,51,0.02
LAYAN,51,0.02
TORRENTES,50,0.02
AVELLAN,50,0.02
SOBALBARRO,50,0.02
DAILEY,50,0.02
SOSIMO,50,0.02
BRIZUELA,49,0.02
GALEANO,49,0.02
ARTIAGA,49,0.02
HANSON,49,0.02
PEÑARANDA,48,0.02
TELLEZ,48,0.02
AMAYA,48,0.02
OSORIO,48,0.02
SOZA,48,0.02
WEST,48,0.02
RUSSELL,48,0.02
FERGUSON,48,0.02
GARBANZO,47,0.02
MEMBREÑO,47,0.02
BRAN,47,0.02
MC DONALD,47,0.02
ABRAHAMS,47,0.02
PAISANO,47,0.02
DANIELS,47,0.02
BARRAGAN,47,0.02
STUART,47,0.02
CARAVACA,46,0.02
GAZO,46,0.02
EWERS,46,0.02
CECILIANO,45,0.02
ZELAYA,45,0.02
BETANCOURT,45,0.02
BAEZ,45,0.02
TERCERO,45,0.02
CHEVES,45,0.02
ARGUETA,45,0.02
LYNCH,45,0.02
ROBLETO,44,0.01
VILLAREVIA,44,0.01
MYERS,44,0.01
CARTIN,43,0.01
APU,43,0.01
VIVAS,43,0.01
MONTERROSA,43,0.01
THORPE,43,0.01
MC FARLANE,43,0.01
DENNIS,43,0.01
CANTILLO,42,0.01
LEE,42,0.01
PRIETO,42,0.01
CERDA,42,0.01
URTECHO,42,0.01
JOSEPH,42,0.01
TRIGUEROS,41,0.01
ARRIOLA,41,0.01
ACON,41,0.01
DRUMMOND,41,0.01
ROGERS,41,0.01
CORREA,40,0.01
LIRA,40,0.01
URIARTE,40,0.01
STELLER,39,0.01
GALLARDO,39,0.01
SAAVEDRA,39,0.01
TELLO,39,0.01
ESTELLER,39,0.01
DOWNS,39,0.01
PARKER,39,0.01
DALEY,39,0.01
CABALCETA,38,0.01
SOTELA,38,0.01
VALLEJO,38,0.01
MARQUEZ,38,0.01
SALVATIERRA,38,0.01
TELLES,38,0.01
JUNEZ,38,0.01
REINA,38,0.01
CASCO,38,0.01
SEAS,37,0.01
VALDIVIA,37,0.01
MATUS,37,0.01
TAFALLA,37,0.01
ORIAS,36,0.01
RUEDA,36,0.01
APARICIO,36,0.01
DUARTES,36,0.01
GALAGARZA,36,0.01
LOZANO,36,0.01
LAGOS,36,0.01
LATOUCHE,36,0.01
PARKINSON,36,0.01
SINCLAIR,36,0.01
SHARPE,36,0.01
CUADRA,35,0.01
CONCEPCION,35,0.01
VIDAL,35,0.01
DORMOND,35,0.01
CASERES,35,0.01
ROWE,35,0.01
DOWNER,35,0.01
CHANTO,34,0.01
PHILLIPS,34,0.01
OSORNO,34,0.01
PALACIO,34,0.01
SALAMANCA,34,0.01
ZAMBRANO,34,0.01
MENENDEZ,34,0.01
ALMANZOR,34,0.01
SPENCE,34,0.01
SALMON,34,0.01
SOUTH,34,0.01
MAYERS,34,0.01
VADO,33,0.01
BUZANO,33,0.01
HUETE,33,0.01
BAILEY,33,0.01
GREGORY,33,0.01
BLAKE,33,0.01
YASLIN,33,0.01
VALLECILLO,32,0.01
PIÑAR,32,0.01
BOJORGE,32,0.01
FORD,32,0.01
PLATERO,32,0.01
HAMILTON,32,0.01
SANDERS,32,0.01
GONGORA,31,0.01
ADAMS,31,0.01
MACOTELO,31,0.01
ARCEYUT,31,0.01
CYRUS,31,0.01
CAYASSO,31,0.01
PRICE,31,0.01
NORMAN,31,0.01
PETERKIN,31,0.01
BRAYAN,31,0.01
SCARLETT,31,0.01
LI,30,0.01
CASARES,30,0.01
TINOCO,30,0.01
VALDELOMAR,30,0.01
IRIAS,30,0.01
LAGUNA,30,0.01
STEELE,30,0.01
HUNTER,30,0.01
GIBSON,30,0.01
LINTON,30,0.01
PERRY,30,0.01
BRUMLEY,30,0.01
MC LEOD,30,0.01
RICKETTS,30,0.01
MOJICA,29,0.01
GARAY,29,0.01
CACERES,29,0.01
ALANIS,29,0.01
ROSES,29,0.01
SHAW,29,0.01
HAMM,29,0.01
STEPHEN,29,0.01
LOWE,29,0.01
MC CALLA,29,0.01
PORTILLA,28,0.01
PICHARDO,28,0.01
ALMANZA,28,0.01
GIL,28,0.01
OCON,28,0.01
POLANCO,28,0.01
ABREGO,28,0.01
REYNOLDS,28,0.01
HAY,28,0.01
SHEDDEN,28,0.01
CAMERON,28,0.01
RICHARD,28,0.01
AUSTIN,28,0.01
CHANNER,28,0.01
SLACK,28,0.01
MOSCOSO,27,0.01
LINARES,27,0.01
OTOYA,27,0.01
OJEDA,27,0.01
VALLES,27,0.01
VIDAURRE,27,0.01
HOOKER,27,0.01
BARKER,27,0.01
BUCHANAN,27,0.01
ESCOE,27,0.01
WINTER,27,0.01
CARR,27,0.01
SORIO,27,0.01
GOULDBOURNE,27,0.01
WEPOLT,27,0.01
CHEN,26,0.01
ABELLAN,26,0.01
GRAJALES,26,0.01
COLOMER,26,0.01
LAMAS,26,0.01
CARBONERO,26,0.01
OQUENDO,26,0.01
LAWSON,26,0.01
BINNS,26,0.01
WILLIAMSON,26,0.01
COLES,26,0.01
COOK,26,0.01
MACIEL,26,0.01
SIMMONS,26,0.01
WESLEY,26,0.01
LEPIZ,25,0.01
SARAVIA,25,0.01
ORELLANA,25,0.01
SIEZAR,25,0.01
ROA,25,0.01
JAIME,25,0.01
QUEDO,25,0.01
MOORE,25,0.01
MULLINS,25,0.01
MILLINER,25,0.01
WING,25,0.01
MC CLOUD,25,0.01
FRECKLETON,25,0.01
TRUJILLO,24,0.01
FUNES,24,0.01
ESTRELLA,24,0.01
MATUTE,24,0.01
CHIN,24,0.01
MASON,24,0.01
ANGLIN,24,0.01
WRAY,24,0.01
LANGE,24,0.01
HYLTON,24,0.01
DONALDSON,24,0.01
MATHURIN,24,0.01
MC ELROY,24,0.01
ALEGRIA,23,0.01
TORREZ,23,0.01
VILLACHICA,23,0.01
RAYO,23,0.01
ROSTRAN,23,0.01
BATRES,23,0.01
SANARRUSIA,23,0.01
NG,23,0.01
BARNETT,23,0.01
PORTER,23,0.01
DOSMAN,23,0.01
HYMAN,23,0.01
EASY,23,0.01
WILLIS,23,0.01
KNIGHT,23,0.01
HOLMES,23,0.01
PITTERSON,23,0.01
ABELLA,23,0.01
LECK,23,0.01
JENKINS,22,0.01
RECIO,22,0.01
VELAZQUEZ,22,0.01
LUMBI,22,0.01
ARROLIGA,22,0.01
CUENDIS,22,0.01
TABLADA,22,0.01
ESCORCIA,22,0.01
LANZAS,22,0.01
DONDI,22,0.01
VILLATORO,22,0.01
HUTCHINSON,22,0.01
CASH,22,0.01
HARVEY,22,0.01
LEVELL,22,0.01
BRYANT,22,0.01
CLAYTON,22,0.01
DOVER,22,0.01
ALTERNO,22,0.01
SALON,22,0.01
WYNTER,22,0.01
MATTHEWS,22,0.01
MC LOUD,22,0.01
PECOU,22,0.01
WAISA,22,0.01
KIAMBLI,22,0.01
ECHEVERRIA,21,0.01
WU,21,0.01
GAMEZ,21,0.01
SABALLOS,21,0.01
QUIJANO,21,0.01
CORDONERO,21,0.01
MALTEZ,21,0.01
WALLACE,21,0.01
BUSTO,21,0.01
GUDIEL,21,0.01
BABB,21,0.01
UZAGA,21,0.01
MARSHALL,21,0.01
PARKS,21,0.01
RANKIN,21,0.01
LACKWOOD,21,0.01
CROSS,21,0.01
NEWBALL,21,0.01
HANSELL,21,0.01
GEORGE,21,0.01
BRIGHT,21,0.01
WILSHIRE,21,0.01
IROLA,20,0.01
FENG,20,0.01
TALENO,20,0.01
MONTALBAN,20,0.01
PICON,20,0.01
ROBLERO,20,0.01
ESPINALES,20,0.01
REAL,20,0.01
TEMPLE,20,0.01
GOLUBOAY,20,0.01
LANGEL,20,0.01
MC GREGOR,20,0.01
FACEY,20,0.01
GODFREY,20,0.01
OMIER,20,0.01
SARGENT,20,0.01
FARLEY,20,0.01
MICHEL,20,0.01
DAPSON,20,0.01
BRITON,20,0.01
CHAN,19,0.01
BOGARIN,19,0.01
MENDIETA,19,0.01
BALLADARES,19,0.01
ALARCON,19,0.01
CERNA,19,0.01
SIERRA,19,0.01
BELTRAN,19,0.01
CISNERO,19,0.01
ESCOTO,19,0.01
ARTEAGA,19,0.01
VELIZ,19,0.01
SAWYERS,19,0.01
SAMUEL,19,0.01
BARTON,19,0.01
VAZ,19,0.01
BRACK,19,0.01
HAWKINS,19,0.01
DOSMA,19,0.01
OREAMUNO,18,0.01
WONG,18,0.01
PASOS,18,0.01
ZEPEDA,18,0.01
ZAVALA,18,0.01
ARTOLA,18,0.01
BALDELOMAR,18,0.01
PULIDO,18,0.01
YUBANK,18,0.01
SANARRUCIA,18,0.01
PAGUAGA,18,0.01
GUARIN,18,0.01
ABRAHAM,18,0.01
HIBBERT,18,0.01
TARDENCILLA,18,0.01
ROPER,18,0.01
HILL,18,0.01
CHARLES,18,0.01
PIERRE,18,0.01
DOBSON,18,0.01
MULLINGS,18,0.01
SAMBOLA,18,0.01
KURR,18,0.01
CREED,18,0.01
PANTON,18,0.01
MC KINLEY,18,0.01
GLASHEN,18,0.01
VILLAVICENCIO,17,0.01
MEOÑO,17,0.01
MORAN,17,0.01
SAGOT,17,0.01
OCHOA,17,0.01
YOUNG,17,0.01
ONDOY,17,0.01
QUIROZ,17,0.01
DE LEON,17,0.01
TORRENTE,17,0.01
PINO,17,0.01
AGUIRRES,17,0.01
DUNCAN,17,0.01
WOLFE,17,0.01
GRAY,17,0.01
HUGHES,17,0.01
STEPHENS,17,0.01
YEN,17,0.01
BOX,17,0.01
PEMBERTON,17,0.01
ARCHIBOLD,17,0.01
LOBOS,17,0.01
CHOLLETTE,17,0.01
DOLMOS,17,0.01
ESNA,17,0.01
COLVILLE,17,0.01
HERRON,17,0.01
KERR,17,0.01
SHIRLEY,17,0.01
STEVENSON,17,0.01
GOLDEN,17,0.01
JARRETT,17,0.01
DUNN,17,0.01
PLUMMER,17,0.01
FROILANO,17,0.01
ROGADE,17,0.01
ANDRADE,16,0.01
CORNEJO,16,0.01
PASTRANA,16,0.01
CAÑAS,16,0.01
SOTELO,16,0.01
MONTERREY,16,0.01
PILARTE,16,0.01
GRANJA,16,0.01
ABADIA,16,0.01
JUNES,16,0.01
