Apellido,Personas,Porcentaje
BARRIOS,667,0.06
ALEMAN,651,0.06
CONEJO,650,0.06
PERALTA,646,0.06
MENESES,646,0.06
LEDEZMA,640,0.06
URBINA,638,0.06
SILES,631,0.05
PALACIOS,630,0.05
PIZARRO,628,0.05
PERAZA,621,0.05
ZUMBADO,619,0.05
LUNA,618,0.05
DAVILA,618,0.05
ACEVEDO,611,0.05
CORELLA,611,0.05
CERVANTES,597,0.05
CABRERA,596,0.05
VELASQUEZ,588,0.05
CANALES,585,0.05
JUAREZ,568,0.05
BRIZUELA,566,0.05
OCAMPO,565,0.05
GUIDO,564,0.05
MORAGA,562,0.05
ARAUZ,560,0.05
SILVA,553,0.05
VALERIN,551,0.05
OTAROLA,545,0.05
ZAPATA,542,0.05
MEJIAS,541,0.05
SALGADO,538,0.05
FIGUEROA,537,0.05
CABEZAS,534,0.05
OBREGON,531,0.05
BEITA,531,0.05
AVENDAÑO,528,0.05
BRAVO,520,0.04
ARAGON,518,0.04
ESCALANTE,518,0.04
MONTIEL,517,0.04
CARTIN,506,0.04
PORTILLA,504,0.04
TENCIO,493,0.04
SOLERA,483,0.04
SEVILLA,482,0.04
FAJARDO,473,0.04
CORONADO,471,0.04
SOJO,466,0.04
LEAL,459,0.04
LACAYO,459,0.04
MOREIRA,458,0.04
PINEDA,458,0.04
CHANTO,451,0.04
NAVARRETE,447,0.04
BURGOS,445,0.04
ROCHA,441,0.04
HURTADO,430,0.04
REDONDO,428,0.04
CALERO,424,0.04
VALENCIANO,424,0.04
VALLE,423,0.04
SEAS,419,0.04
COREA,418,0.04
ROLDAN,418,0.04
LEANDRO,416,0.04
POVEDA,416,0.04
AGUILERA,415,0.04
SOSA,412,0.04
ORDOÑEZ,409,0.04
CASTRILLO,407,0.04
BOGANTES,397,0.03
NAJERA,397,0.03
MAIRENA,396,0.03
ARLEY,394,0.03
NOGUERA,379,0.03
CASTELLON,374,0.03
BROWN,373,0.03
JAEN,368,0.03
OLIVARES,366,0.03
CANO,359,0.03
MAROTO,357,0.03
VALLEJOS,356,0.03
ESCOBAR,356,0.03
PRENDAS,353,0.03
HUERTAS,351,0.03
CANTILLO,350,0.03
AVILES,348,0.03
VIALES,342,0.03
JIRON,341,0.03
TRIGUEROS,340,0.03
CHAN,340,0.03
IBARRA,339,0.03
NAVAS,336,0.03
BATISTA,334,0.03
QUINTERO,331,0.03
MONESTEL,326,0.03
MEDRANO,323,0.03
CARPIO,321,0.03
ZARATE,316,0.03
CUADRA,315,0.03
CHEVEZ,312,0.03
ENRIQUEZ,310,0.03
BOZA,310,0.03
CHAVEZ,307,0.03
ASTORGA,306,0.03
SMITH,304,0.03
SANTANA,304,0.03
VALLADARES,298,0.03
RUBI,298,0.03
CABALLERO,296,0.03
PAEZ,296,0.03
VILCHEZ,295,0.03
OCONITRILLO,291,0.03
VILLANUEVA,290,0.03
TAYLOR,290,0.03
PEÑARANDA,289,0.02
ECHEVERRIA,286,0.02
MURCIA,285,0.02
TELLEZ,284,0.02
CHAMORRO,283,0.02
MARENCO,282,0.02
UGARTE,281,0.02
BLANDON,280,0.02
VANEGAS,277,0.02
TAPIA,274,0.02
WONG,272,0.02
OREAMUNO,270,0.02
CARRION,267,0.02
GAITAN,263,0.02
EDUARTE,262,0.02
MONDRAGON,261,0.02
NARVAEZ,259,0.02
CARAZO,257,0.02
LI,257,0.02
CASTAÑEDA,254,0.02
OPORTA,240,0.02
ZELAYA,240,0.02
ODIO,239,0.02
HERRA,234,0.02
WU,234,0.02
CASASOLA,233,0.02
CHARPENTIER,233,0.02
CHEN,232,0.02
MORUA,230,0.02
VILLAGRA,228,0.02
ARANA,228,0.02
SOTELA,228,0.02
