Apellido,Personas,Porcentaje
PEÑARANDA,189,0.05
SANTAMARIA,185,0.05
PRADO,184,0.05
MARCHENA,183,0.05
LEAL,178,0.05
PORTUGUEZ,176,0.05
GODINEZ,173,0.05
SOLERA,173,0.05
ACEVEDO,172,0.05
CORELLA,172,0.05
GUADAMUZ,170,0.05
JUAREZ,168,0.05
PALACIOS,166,0.05
PERAZA,166,0.05
MORAGA,164,0.05
PIZARRO,164,0.05
ARAGON,164,0.05
OCONITRILLO,164,0.05
GUIDO,163,0.05
CANALES,159,0.04
CALERO,158,0.04
MONTENEGRO,155,0.04
VALENCIANO,155,0.04
TRIGUEROS,154,0.04
PINEDA,153,0.04
SALGADO,153,0.04
HERRA,153,0.04
MONTIEL,150,0.04
OTAROLA,150,0.04
GAITAN,148,0.04
PERALTA,147,0.04
NAVARRETE,145,0.04
VELASQUEZ,141,0.04
HUERTAS,140,0.04
BARRIOS,139,0.04
CARTIN,139,0.04
SEVILLA,138,0.04
CABRERA,137,0.04
CARDENAS,135,0.04
POVEDA,134,0.04
MONTES,131,0.04
BASTOS,131,0.04
ASTUA,128,0.04
CANO,127,0.04
HURTADO,126,0.04
COREA,126,0.04
CHANTO,126,0.04
CASTRILLO,122,0.03
VALLEJOS,122,0.03
ALCAZAR,122,0.03
ALTAMIRANO,121,0.03
SOSA,120,0.03
ARAUZ,119,0.03
MAROTO,119,0.03
SOJO,116,0.03
SILES,115,0.03
JIRON,115,0.03
BUSTAMANTE,114,0.03
ANCHIA,111,0.03
AVALOS,110,0.03
IBARRA,109,0.03
JAEN,108,0.03
ORDOÑEZ,107,0.03
CERVANTES,105,0.03
VANEGAS,105,0.03
LACAYO,104,0.03
NOGUERA,103,0.03
QUINTERO,103,0.03
BLANDON,103,0.03
ESCOBAR,103,0.03
VALERIN,102,0.03
ZAPATA,98,0.03
OPORTA,98,0.03
FIGUEROA,97,0.03
MENESES,95,0.03
REDONDO,95,0.03
CANTILLANO,93,0.03
GONGORA,93,0.03
SMITH,92,0.03
LEANDRO,90,0.03
BATISTA,90,0.03
ROCHA,89,0.03
SANTANA,88,0.02
ASTORGA,87,0.02
BOLIVAR,87,0.02
MEDRANO,84,0.02
VALLE,83,0.02
GARBANZO,83,0.02
CORONADO,81,0.02
VALENCIA,80,0.02
VIZCAINO,80,0.02
BEITA,78,0.02
VILLAGRA,78,0.02
VILLAFUERTE,78,0.02
BRIZUELA,77,0.02
BROWN,76,0.02
CASTELLON,76,0.02
AVILES,75,0.02
NAVAS,75,0.02
LAZO,75,0.02
MAIRENA,74,0.02
VALLADARES,73,0.02
ARLEY,73,0.02
SALGUERA,73,0.02
MONDRAGON,73,0.02
GALEANO,73,0.02
TELLEZ,72,0.02
FERRETO,71,0.02
CHAMORRO,71,0.02
BOZA,70,0.02
RUGAMA,70,0.02
ROLDAN,70,0.02
BALMACEDA,69,0.02
AGUILERA,68,0.02
BRIONES,67,0.02
CARAZO,67,0.02
TORUÑO,67,0.02
NARVAEZ,67,0.02
THOMAS,67,0.02
SANTOS,67,0.02
PONCE,66,0.02
CANTILLO,64,0.02
SALGUERO,64,0.02
STELLER,63,0.02
VIALES,62,0.02
CHAVEZ,62,0.02
GRIJALBA,62,0.02
CUADRA,61,0.02
BARRERA,61,0.02
BOGARIN,61,0.02
NAJERA,60,0.02
CISNEROS,60,0.02
CHEVEZ,60,0.02
OREAMUNO,60,0.02
DOBLES,60,0.02
OBALDIA,60,0.02
CARAVACA,59,0.02
CABALCETA,59,0.02
CHAN,59,0.02
