Apellido,Personas,Porcentaje
ESTRADA,375,0.06
PEREIRA,371,0.05
BOZA,371,0.05
DAVILA,366,0.05
OBREGON,363,0.05
CEDEÑO,362,0.05
OREAMUNO,357,0.05
GAITAN,351,0.05
VILLARREAL,347,0.05
PARRA,342,0.05
STELLER,341,0.05
CARDENAS,339,0.05
CONTRERAS,338,0.05
COTO,337,0.05
GODINEZ,336,0.05
VILLALTA,333,0.05
BARRIOS,330,0.05
LAZO,326,0.05
POTOY,323,0.05
MONTIEL,321,0.05
TENORIO,314,0.05
SILVA,314,0.05
MARCHENA,307,0.05
FERRETO,307,0.05
JIRON,304,0.04
ALTAMIRANO,303,0.04
BEJARANO,300,0.04
PRADO,298,0.04
SEVILLA,296,0.04
MAROTO,295,0.04
AGUILERA,292,0.04
LEIVA,282,0.04
MONESTEL,282,0.04
BASTOS,280,0.04
MONTANO,275,0.04
CANALES,273,0.04
CABRERA,272,0.04
SOSA,263,0.04
PEÑARANDA,258,0.04
ORDOÑEZ,257,0.04
ARANA,255,0.04
HERRA,253,0.04
CUADRA,253,0.04
MORAGA,251,0.04
TRIGUEROS,250,0.04
JUAREZ,243,0.04
PERALTA,243,0.04
CHEVEZ,242,0.04
OTAROLA,240,0.04
VELASQUEZ,234,0.03
BARRERA,232,0.03
FAJARDO,228,0.03
SALGADO,223,0.03
SILES,222,0.03
LOAIZA,218,0.03
CASTRILLO,218,0.03
MENESES,216,0.03
ZAPATA,211,0.03
ENRIQUEZ,211,0.03
ARAUZ,205,0.03
SALGUERA,204,0.03
EDUARTE,203,0.03
MONTENEGRO,201,0.03
ESCOBAR,200,0.03
GALEANO,200,0.03
MEDRANO,198,0.03
MONTES,197,0.03
VALLE,197,0.03
RUGAMA,195,0.03
VANEGAS,193,0.03
PONCE,192,0.03
NOGUERA,191,0.03
PIZARRO,190,0.03
VALLADARES,189,0.03
SANTANA,189,0.03
BLANDON,188,0.03
AVALOS,187,0.03
CISNEROS,186,0.03
CANO,183,0.03
VALLEJOS,181,0.03
PARAJELES,180,0.03
RUBI,175,0.03
AMORES,172,0.03
LEAL,171,0.03
AVENDAÑO,170,0.03
LACAYO,168,0.02
AVILES,167,0.02
VILLAGRA,166,0.02
ARREDONDO,166,0.02
CARAZO,164,0.02
CHAVEZ,163,0.02
NARVAEZ,162,0.02
CORONADO,159,0.02
MONDRAGON,158,0.02
SIRIAS,157,0.02
ASTORGA,156,0.02
CHAMORRO,156,0.02
UGARTE,152,0.02
PICHARDO,151,0.02
FIGUEROA,149,0.02
ARLEY,149,0.02
TIJERINO,148,0.02
TRAÑA,145,0.02
CANTILLANO,143,0.02
BORBON,141,0.02
CARTIN,141,0.02
BAEZ,140,0.02
ALCAZAR,138,0.02
NAVARRETE,136,0.02
LEANDRO,134,0.02
QUINTANA,134,0.02
CERVANTES,132,0.02
TELLEZ,132,0.02
JINESTA,132,0.02
CASTELLON,131,0.02
SALGUERO,130,0.02
MURCIA,130,0.02
ZARATE,129,0.02
VICTOR,129,0.02
OTOYA,128,0.02
TALENO,128,0.02
NAJERA,127,0.02
BURGOS,127,0.02
OLIVAS,127,0.02
IRIAS,125,0.02
ZAMBRANA,124,0.02
PORTILLA,123,0.02
ARBUROLA,121,0.02
VIALES,120,0.02
CASANOVA,120,0.02
MANZANARES,120,0.02
BUSTAMANTE,119,0.02
ESCALANTE,118,0.02
CABALLERO,116,0.02
TALAVERA,116,0.02
LUMBI,116,0.02
BEITA,115,0.02
LOZANO,114,0.02
VIVAS,113,0.02
