Apellido,Personas,Porcentaje
OCAMPO,2585,0.07
JARQUIN,2578,0.07
PARRA,2562,0.07
ESTRADA,2525,0.07
MONTIEL,2508,0.07
CHAVERRI,2493,0.07
LUNA,2487,0.07
CANALES,2440,0.07
FIGUEROA,2407,0.07
PALACIOS,2406,0.07
MONTES,2371,0.07
CASTRILLO,2361,0.07
OVARES,2343,0.07
OBREGON,2330,0.07
CORELLA,2286,0.06
BRAVO,2263,0.06
BALLESTERO,2260,0.06
CABEZAS,2253,0.06
MOREIRA,2242,0.06
LEAL,2208,0.06
CECILIANO,2189,0.06
VALLEJOS,2130,0.06
PERAZA,2120,0.06
PERALTA,2106,0.06
MENESES,2101,0.06
VALERIN,2097,0.06
PRENDAS,2066,0.06
SILES,2036,0.06
ARAUZ,2011,0.06
DAVILA,2009,0.06
MAROTO,1979,0.06
REDONDO,1968,0.06
ARAGON,1967,0.06
HURTADO,1945,0.05
VELASQUEZ,1937,0.05
ORDOÑEZ,1933,0.05
SILVA,1914,0.05
COREA,1912,0.05
BARRIOS,1844,0.05
SOLERA,1830,0.05
LEANDRO,1815,0.05
BEITA,1813,0.05
SOJO,1763,0.05
ALTAMIRANO,1747,0.05
CORONADO,1744,0.05
VIALES,1744,0.05
CABRERA,1738,0.05
JAEN,1694,0.05
AVENDAÑO,1680,0.05
ASTUA,1674,0.05
NAVARRETE,1673,0.05
SOSA,1672,0.05
CALERO,1662,0.05
PINEDA,1647,0.05
BORBON,1615,0.05
ZAPATA,1606,0.05
CERVANTES,1604,0.05
NAJERA,1602,0.05
MEDRANO,1597,0.05
CISNEROS,1577,0.04
BUSTAMANTE,1576,0.04
ENRIQUEZ,1566,0.04
CHEVEZ,1552,0.04
BROWN,1540,0.04
TENCIO,1536,0.04
OTAROLA,1524,0.04
JIRON,1519,0.04
MAIRENA,1511,0.04
POVEDA,1493,0.04
VILLANUEVA,1483,0.04
NOGUERA,1463,0.04
VALENCIANO,1440,0.04
AVALOS,1436,0.04
HUERTAS,1423,0.04
ROCHA,1398,0.04
ZARATE,1360,0.04
MONESTEL,1357,0.04
VILLAGRA,1314,0.04
VALLE,1309,0.04
AVILES,1296,0.04
SALGADO,1287,0.04
OPORTA,1284,0.04
GARBANZO,1265,0.04
BOZA,1264,0.04
VILLAFUERTE,1259,0.04
SEVILLA,1251,0.04
CARPIO,1232,0.03
AGUILERA,1204,0.03
OCONITRILLO,1204,0.03
VALENCIA,1197,0.03
ASTORGA,1193,0.03
SMITH,1192,0.03
ESCALANTE,1191,0.03
VANEGAS,1145,0.03
CABALLERO,1142,0.03
CANO,1136,0.03
VALLADARES,1134,0.03
LACAYO,1132,0.03
SANTANA,1126,0.03
RUBI,1105,0.03
ARLEY,1102,0.03
GAITAN,1087,0.03
BRIZUELA,1082,0.03
CARTIN,1075,0.03
CASTELLON,1071,0.03
CASTAÑEDA,1064,0.03
BATISTA,1040,0.03
VICTOR,1038,0.03
TRIGUEROS,1035,0.03
BRIONES,1034,0.03
QUINTERO,1032,0.03
CANTILLO,1029,0.03
BLANDON,1024,0.03
VILCHEZ,1015,0.03
ESCOBAR,1011,0.03
IBARRA,1011,0.03
OLIVARES,999,0.03
OSES,985,0.03
PONCE,957,0.03
HERRA,951,0.03
SALGUERO,950,0.03
BOLIVAR,942,0.03
DINARTE,938,0.03
FERRETO,929,0.03
UGARTE,926,0.03
MACHADO,923,0.03
RUGAMA,916,0.03
DE LA O,909,0.03
CARAVACA,899,0.03
PEÑARANDA,890,0.03
CABALCETA,882,0.02
CAMARENO,879,0.02
PORTILLA,878,0.02
BASTOS,865,0.02
MONTANO,865,0.02
CHAVEZ,863,0.02
NAVAS,858,0.02
CHAMORRO,857,0.02
OREAMUNO,839,0.02
SEAS,839,0.02
CHANTO,836,0.02
CASASOLA,834,0.02
ARANA,828,0.02
ROLDAN,821,0.02
SALGUERA,820,0.02
CARAZO,815,0.02
BURGOS,809,0.02
ATENCIO,804,0.02
TORUÑO,793,0.02
NARVAEZ,787,0.02
CHAN,780,0.02
LAZO,778,0.02
EDUARTE,776,0.02
CUADRA,763,0.02
BARRERA,752,0.02
GUERRA,749,0.02
SIRIAS,749,0.02
ALCAZAR,744,0.02
GRIJALBA,743,0.02
MONDRAGON,738,0.02
TRAÑA,734,0.02
STELLER,723,0.02
ORIAS,719,0.02
TIJERINO,718,0.02
WILLIAMS,711,0.02
TAYLOR,709,0.02
CONCEPCION,698,0.02
TELLEZ,691,0.02
TAPIA,690,0.02
SALMERON,686,0.02
GALLO,684,0.02
MURCIA,684,0.02
PAEZ,683,0.02
NOVOA,682,0.02
LOAICIGA,676,0.02
MARENCO,675,0.02
SALINAS,673,0.02
THOMAS,662,0.02
POTOY,659,0.02
SALDAÑA,658,0.02
SANTOS,653,0.02
AMPIE,649,0.02
COLLADO,637,0.02
WILSON,633,0.02
CANTILLANO,627,0.02
PARAJELES,626,0.02
DOMINGUEZ,620,0.02
TAMES,620,0.02
CASANOVA,618,0.02
ZELAYA,618,0.02
LEZCANO,614,0.02
PIÑA,603,0.02
ANDRADE,587,0.02
PARRALES,584,0.02
ILAMA,583,0.02
GALEANO,581,0.02
WONG,581,0.02
LI,571,0.02
GODOY,568,0.02
QUINTANA,565,0.02
RUEDA,562,0.02
MANZANARES,560,0.02
TALAVERA,560,0.02
LEWIS,556,0.02
QUINTANILLA,547,0.02
BETANCOURT,545,0.02
MONTEZUMA,545,0.02
GALLARDO,543,0.02
SAMUDIO,542,0.02
BELLO,533,0.02
FRANCO,530,0.01
SOTELA,528,0.01
MONCADA,523,0.01
MOSQUERA,522,0.01
GRANT,519,0.01
OLIVAS,516,0.01
RICHMOND,515,0.01
WATSON,499,0.01
BORGE,493,0.01
MORGAN,489,0.01
SANDINO,489,0.01
MOJICA,484,0.01
CAJINA,482,0.01
APU,479,0.01
ZAMBRANA,475,0.01
ECHEVERRIA,474,0.01
SELVA,473,0.01
